,section_title,target
0,чем предстоит заниматься,0
1,мы ждем от вас,1
2,знание систем класса решений,1
3,что мы предлагаем,3
4,требования,1
5,мы не ограничены текущим стеком но на всякий пара слов и о нем. под капотом помощи,5
6,для начала нас ждет еще один переезд  на этот раз c поддомена help.tinkoff.ru на основной сайт тинькофф. для этого придется,6
7,почему это круто,3
8,условия,4
9,ключевые задачи,0
10,для нас важно,1
11,плюсом будет,2
12,мы предлагаем,3
13,каждый процесс компании имеет своё отражение в бизнес доменах корпоративного dwh,6
14,1 отлаженные процессы разработки,6
15,2 проработанная архитектура dwh и etl процессов,6
16,3 используемые технологии,5
17,4 свежий софт,6
18,обязанности,0
19, ,6
20,мы ждём от кандидатов,1
21,приветствуются,2
22,что предлагаем,3
23,в работе регулярно будете встречать и взаимодействовать со следующими продуктами,0
24,в задачи будет входить,0
25,для успешной работы необходимо,1
26,задачи которые предстоит решать,0
27,вы наш идеальный кандидат если,1
28,наши пожелания,2
29,условия работы,4
30,желательно,2
31,что вы будете делать,0
32,что для нас важно,1
33,что будет полезно,2
34,что делает команда,3
35,как делает,6
36,infrastructure ,6
37,мы ищем опытного тестировщика автоматизатора которому было бы интересно работать над улучшением существующего фрэймворка и увелечением % автотестирования в команде.,6
38,здорово если вы,2
39,что делать в проекте команде,0
40,структура команды,3
41,через нас проходят массовые сотрудники для всех бизнес линий компании. это будущие специалисты call center представители продажники и другие ребята которые помогают поддерживать отличный уровень сервиса. улучшая платформу мы приносим профит всей экосистеме тинькофф.,6
42,большим плюсом будет,2
43,​​​​​​​а ещё,6
44,что будешь делать,0
45,hard skills,1
46,будет плюсом,2
47,soft skills,1
48,что предстоит делать,0
49,проф. навыки,1
50,будет плюсом если есть навыки работы в,2
51,что нужно будет делать,0
52,вам будет проще при наличии опыта или компетенции в следующих областях,2
53,мы ожидаем что вы,1
54,вам предстоит,0
55,работа у нас это,3
56,желательно ,2
57,управление информационных технологий крупного научно исследовательского университета с разветвленной филиальной сетью мощным оборудованием и собственным центром обработки данных приглашает на работу. в уит работает более 60 человек инженеры программисты старшие лаборанты техники и др. в различных отделах,6
58,технические компетенции,1
59,что вас ожидает,0
60,необходимые навыки и опыт работы,1
61,задачи,0
62,мы ищем аналитика который,1
63,нам в делимобиле нужен архитектор аналитической платформы. вам предстоит поддерживать и развивать систему состоящую сейчас из batch processing dwh на базе vertica real time аналитики на основе memsql и пайплайнов с применением kafka airflow python.,6
64,чем конкретно вам предстоит заниматься,0
65,что требуем,1
66,что будет бонусом,2
67,в обязанности члена команды входит,0
68,чтобы быть успешным в данной роли необходимо,1
69,предстоит,0
70,в твоем опыте нам важно,1
71,почему у нас классно,3
72,необходимые навыки и качества,1
73,условия и плюшки,4
74,что нужно чтобы присоединиться к нам,6
75,стек используемых технологий,5
76,что предстоит делать вместе с нами,0
77,требуются,1
78,мы прекрасно понимаем что готового специалиста найти в нашу сферу очень сложно почти не возможно и ниже перечислили желаемые навыки и знания для работы в нашей команде,6
79,интервью в компанию проходят в несколько этапов и все можно пройти в формате online,6
80,знания. навыки,1
81,будет являться преимуществом,2
82,дополнительно,6
83,какие личные и профессиональные качества мы ищем,1
84,дополнительным плюсом будет,2
85,почему вам у нас понравится,3
86,в нашей команде вы сможете,3
87,мы ожидаем от вас,1
88,вам понадобится,1
89,какие задачи решать,0
90,ваши задачи,0
91,наши ожидания,1
92,ваши будущие задачи,0
93,наши преимущества,3
94,от кандидатов ждём,1
95,не обязательно но будет большим плюсом если у вас есть,2
96,готовы предложить,3
97,как делаем,6
98,как какие технологии используем,5
99,от разработчика нужно,1
100,что вам нужно будет делать в проекте,0
101,мы ожидаем от кандидата,1
102,мы предлагаем,3
103,senior 3d аниматор в нашей команде,6
104,не обязательно но пригодится если ты,2
105,будет плюсом,2
106,чем еще предстоит заниматься,0
107,что для этого нужно,1
108,про то почему мы,3
109,наш стек технологий,5
110,что нужно знать и уметь,1
111,более 55 тыс. хостов 15 млн метрик мониторинг баз данных действия пользовательских транзакций способности веб ресурсов скриптов внешних средств,6
